"File1"	"Silence1"	"File2"	"Silence2"	"File3"	"CORR_ANS"	"filename"
"104"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"A"	"stimulus104"
"105"	"amelia_AHP3AH"	"500ms_silence.wav"	"amelia_AHSHAH4"	"500ms_silence.wav"	"amelia_AHSHAH4"	"B"	"stimulus105"
"106"	"amelia_AHSHAH4"	"500ms_silence.wav"	"amelia_AHP3AH"	"500ms_silence.wav"	"amelia_AHP3AH"	"B"	"stimulus106"
"107"	"ewan_EEP3EE"	"500ms_silence.wav"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"B"	"stimulus107"
"108"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"500ms_silence.wav"	"ewan_EESHEE1"	"A"	"stimulus108"
"109"	"amelia_AHP3AH"	"500ms_silence.wav"	"amelia_AHSSAH4"	"500ms_silence.wav"	"amelia_AHSSAH4"	"B"	"stimulus109"
"110"	"ewan_AHSSAH4"	"500ms_silence.wav"	"ewan_AHP3AH"	"500ms_silence.wav"	"ewan_AHP3AH"	"B"	"stimulus110"
"111"	"amelia_EEP3EE"	"500ms_silence.wav"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"B"	"stimulus111"
"112"	"ewan_EESSEE1"	"500ms_silence.wav"	"ewan_EESSEE1"	"500ms_silence.wav"	"ewan_EESSEE1"	"A"	"stimulus112"
"113"	"ewan_EEP3EE"	"500ms_silence.wav"	"ewan_EETHEE1"	"500ms_silence.wav"	"ewan_EETHEE1"	"B"	"stimulus113"
"114"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHP3AH"	"500ms_silence.wav"	"ewan_AHP3AH"	"B"	"stimulus114"
"115"	"amelia_EEP3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus115"
"116"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHTHAH4"	"A"	"stimulus116"
"117"	"amelia_AHP3AH"	"500ms_silence.wav"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"B"	"stimulus117"
"118"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EEP3EE"	"500ms_silence.wav"	"amelia_EEP3EE"	"B"	"stimulus118"
"119"	"ewan_EEP3EE"	"500ms_silence.wav"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"B"	"stimulus119"
"120"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"A"	"stimulus120"
"121"	"ewan_EESH3EE"	"500ms_silence.wav"	"ewan_EESSEE1"	"500ms_silence.wav"	"ewan_EESSEE1"	"B"	"stimulus121"
"122"	"amelia_AHSSAH4"	"500ms_silence.wav"	"amelia_AHSH3AH"	"500ms_silence.wav"	"amelia_AHSH3AH"	"B"	"stimulus122"
"123"	"ewan_AHSH3AH"	"500ms_silence.wav"	"ewan_AHSSAH4"	"500ms_silence.wav"	"ewan_AHSSAH4"	"B"	"stimulus123"
"124"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"500ms_silence.wav"	"amelia_EESSEE1"	"A"	"stimulus124"
"125"	"amelia_EESH3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus125"
"126"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHSH3AH"	"500ms_silence.wav"	"ewan_AHSH3AH"	"B"	"stimulus126"
"127"	"amelia_EESH3EE"	"500ms_silence.wav"	"amelia_EETHEE1"	"500ms_silence.wav"	"amelia_EETHEE1"	"B"	"stimulus127"
"128"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHTHAH4"	"500ms_silence.wav"	"ewan_AHTHAH4"	"A"	"stimulus128"
"129"	"amelia_EESH3EE"	"500ms_silence.wav"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EETEE1"	"B"	"stimulus129"
"130"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EESH3EE"	"500ms_silence.wav"	"amelia_EESH3EE"	"B"	"stimulus130"
"131"	"ewan_AHSH3AH"	"500ms_silence.wav"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"B"	"stimulus131"
"132"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"A"	"stimulus132"
"133"	"ewan_EESS3EE"	"500ms_silence.wav"	"ewan_EETHEE1"	"500ms_silence.wav"	"ewan_EETHEE1"	"B"	"stimulus133"
"134"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHSS3AH"	"500ms_silence.wav"	"amelia_AHSS3AH"	"B"	"stimulus134"
"135"	"amelia_AHSS3AH"	"500ms_silence.wav"	"amelia_AHTHAH4"	"500ms_silence.wav"	"amelia_AHTHAH4"	"B"	"stimulus135"
"136"	"ewan_EETHEE1"	"500ms_silence.wav"	"ewan_EETHEE1"	"500ms_silence.wav"	"ewan_EETHEE1"	"A"	"stimulus136"
"137"	"ewan_AHSS3AH"	"500ms_silence.wav"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"B"	"stimulus137"
"138"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EESS3EE"	"500ms_silence.wav"	"ewan_EESS3EE"	"B"	"stimulus138"
"139"	"amelia_AHSS3AH"	"500ms_silence.wav"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTAH4"	"B"	"stimulus139"
"140"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EETEE1"	"A"	"stimulus140"
"141"	"ewan_AHTH3AH"	"500ms_silence.wav"	"ewan_AHTAH4"	"500ms_silence.wav"	"ewan_AHTAH4"	"B"	"stimulus141"
"142"	"amelia_AHTAH4"	"500ms_silence.wav"	"amelia_AHTH3AH"	"500ms_silence.wav"	"amelia_AHTH3AH"	"B"	"stimulus142"
"143"	"amelia_EETH3EE"	"500ms_silence.wav"	"amelia_EETEE1"	"500ms_silence.wav"	"amelia_EETEE1"	"B"	"stimulus143"
"144"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"500ms_silence.wav"	"ewan_EETEE1"	"A"	"stimulus144"
