File1;Silence1;File2;Silence2;File3;CORR_ANS;triplet_id;speak_first;File_A;File_B;File_X;rep_number
Ewan_HADI3.wav;500ms_silence.wav;Ewan_HAEDI3.wav;500ms_silence.wav;Amelia_HAEDI3.wav;B;1;Ewan;A;AE;AE;3
Ewan_HADI3.wav;500ms_silence.wav;Ewan_HEEDI3.wav;500ms_silence.wav;Amelia_HEEDI3.wav;B;2;Ewan;A;EE;EE;3
Ewan_HADAH2.wav;500ms_silence.wav;Ewan_HOODAH2.wav;500ms_silence.wav;Amelia_HOODAH2.wav;B;3;Ewan;A;OO;OO;2
Ewan_HADAH.wav;500ms_silence.wav;Ewan_HUHDAH.wav;500ms_silence.wav;Amelia_HUHDAH.wav;B;4;Ewan;A;UH;UH;
Ewan_HADI3.wav;500ms_silence.wav;Ewan_WHODI3.wav;500ms_silence.wav;Amelia_WHODI3.wav;B;5;Ewan;A;WHO;WHO;3
Amelia_HAEDI1.wav;500ms_silence.wav;Amelia_HADI1.wav;500ms_silence.wav;Ewan_HADI1.wav;B;6;Amel;AE;A;A;1
Amelia_HAEDAH3.wav;500ms_silence.wav;Amelia_HEEDAH3.wav;500ms_silence.wav;Ewan_HEEDAH3.wav;B;7;Amel;AE;EE;EE;3
Amelia_HAEDI1.wav;500ms_silence.wav;Amelia_HOODI1.wav;500ms_silence.wav;Ewan_HOODI1.wav;B;8;Amel;AE;OO;OO;1
Amelia_HAEDAH2.wav;500ms_silence.wav;Amelia_HUHDAH2.wav;500ms_silence.wav;Ewan_HUHDAH2.wav;B;9;Amel;AE;UH;UH;2
Ewan_HAEDAH3.wav;500ms_silence.wav;Ewan_WHODAH3.wav;500ms_silence.wav;Amelia_WHODAH3.wav;B;10;Ewan;AE;WHO;WHO;3
Ewan_HEEDAH.wav;500ms_silence.wav;Ewan_HADAH.wav;500ms_silence.wav;Amelia_HADAH.wav;B;11;Ewan;EE;A;A;
Ewan_HEEDAH2.wav;500ms_silence.wav;Ewan_HAEDAH2.wav;500ms_silence.wav;Amelia_HAEDAH2.wav;B;12;Ewan;EE;AE;AE;2
Ewan_HEEDI1.wav;500ms_silence.wav;Ewan_HOODI1.wav;500ms_silence.wav;Amelia_HOODI1.wav;B;13;Ewan;EE;OO;OO;1
Amelia_HEEDI2.wav;500ms_silence.wav;Amelia_HUHDI2.wav;500ms_silence.wav;Ewan_HUHDI2.wav;B;14;Amel;EE;UH;UH;2
Ewan_HEEDI.wav;500ms_silence.wav;Ewan_WHODI.wav;500ms_silence.wav;Amelia_WHODI.wav;B;15;Ewan;EE;WHO;WHO;
Ewan_HOODAH.wav;500ms_silence.wav;Ewan_HADAH.wav;500ms_silence.wav;Amelia_HADAH.wav;B;16;Ewan;OO;A;A;
Amelia_HOODAH1.wav;500ms_silence.wav;Amelia_HAEDAH1.wav;500ms_silence.wav;Ewan_HAEDAH1.wav;B;17;Amel;OO;AE;AE;1
