File1	Silence1	File2	Silence2	File3	CORR_ANS	filename
amelia_WHODI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	500ms_silence.wav	amelia_HAEDI1.wav	B	stimulus34
ewan_HAEDI1.wav	500ms_silence.wav	ewan_WHODI1.wav	500ms_silence.wav	ewan_WHODI1.wav	B	stimulus35
amelia_WHODAH2.wav	500ms_silence.wav	amelia_WHODAH2.wav	500ms_silence.wav	amelia_WHODAH2.wav	A	stimulus36
ewan_HEEDI1.wav	500ms_silence.wav	ewan_HOODI1.wav	500ms_silence.wav	ewan_HOODI1.wav	B	stimulus37
amelia_HOODAH2.wav	500ms_silence.wav	amelia_HEEDAH4.wav	500ms_silence.wav	amelia_HEEDAH4.wav	B	stimulus38
ewan_HEEDI1.wav	500ms_silence.wav	ewan_HOODI1.wav	500ms_silence.wav	ewan_HOODI1.wav	B	stimulus39
amelia_HOODAH2.wav	500ms_silence.wav	amelia_HOODAH2.wav	500ms_silence.wav	amelia_HOODAH2.wav	A	stimulus40
amelia_HEEDI1.wav	500ms_silence.wav	amelia_HUHDI1.wav	500ms_silence.wav	amelia_HUHDI1.wav	B	stimulus41
ewan_HUHDI1.wav	500ms_silence.wav	ewan_HEEDI1.wav	500ms_silence.wav	ewan_HEEDI1.wav	B	stimulus42
amelia_HEEDAH4.wav	500ms_silence.wav	amelia_HUHDAH2.wav	500ms_silence.wav	amelia_HUHDAH2.wav	B	stimulus43
ewan_HUHDAH2.wav	500ms_silence.wav	ewan_HUHDAH2.wav	500ms_silence.wav	ewan_HUHDAH2.wav	A	stimulus44
