_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,CV_2,context_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,ewan17,stimulus24_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels10,NA,NA,NA,NA,NA
A,ewan17,stimulus24_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels17,NA,NA,NA,NA,NA
A,ewan2,stimulus13_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels25,NA,NA,NA,NA,NA
A,ewan2,stimulus13_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels2,NA,NA,NA,NA,NA
A,ewan2,stimulus5_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels17,NA,NA,NA,NA,NA
A,ewan2,stimulus5_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels2,NA,NA,NA,NA,NA
A,ewan21,stimulus8_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels6,NA,NA,NA,NA,NA
A,ewan21,stimulus8_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels21,NA,NA,NA,NA,NA
A,ewan33,stimulus40_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels18,NA,NA,NA,NA,NA
A,ewan33,stimulus40_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels33,NA,NA,NA,NA,NA
A,ewan34,stimulus49_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels25,NA,NA,NA,NA,NA
A,ewan34,stimulus49_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels34,NA,NA,NA,NA,NA
A,ewan37,stimulus12_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels6,NA,NA,NA,NA,NA
A,ewan37,stimulus12_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels37,NA,NA,NA,NA,NA
A,ewan41,stimulus60_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels34,NA,NA,NA,NA,NA
A,ewan41,stimulus60_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels41,NA,NA,NA,NA,NA
A,ewan45,stimulus20_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels6,NA,NA,NA,NA,NA
A,ewan45,stimulus20_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels45,NA,NA,NA,NA,NA
A,ewan50,stimulus68_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants28,NA,NA,NA,NA,NA
A,ewan50,stimulus68_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants2,NA,NA,NA,NA,NA
A,ewan50,stimulus88_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants20,NA,NA,NA,NA,NA
A,ewan50,stimulus88_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants2,NA,NA,NA,NA,NA
A,ewan52,stimulus113_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants50,NA,NA,NA,NA,NA
A,ewan52,stimulus113_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants4,NA,NA,NA,NA,NA
A,ewan54,stimulus105_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants47,NA,NA,NA,NA,NA
A,ewan54,stimulus105_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants6,NA,NA,NA,NA,NA
A,ewan58,stimulus120_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants4,NA,NA,NA,NA,NA
A,ewan58,stimulus120_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants10,NA,NA,NA,NA,NA
A,ewan58,stimulus144_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants52,NA,NA,NA,NA,NA
A,ewan58,stimulus144_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants10,NA,NA,NA,NA,NA
A,ewan6,stimulus1_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_vowels13,NA,NA,NA,NA,NA
A,ewan6,stimulus1_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_vowels6,NA,NA,NA,NA,NA
A,ewan63,stimulus132_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants46,NA,NA,NA,NA,NA
A,ewan63,stimulus132_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants15,NA,NA,NA,NA,NA
A,ewan66,stimulus64_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants28,NA,NA,NA,NA,NA
A,ewan66,stimulus64_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants18,NA,NA,NA,NA,NA
A,ewan68,stimulus97_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants50,NA,NA,NA,NA,NA
A,ewan68,stimulus97_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants20,NA,NA,NA,NA,NA
A,ewan70,stimulus101_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants15,NA,NA,NA,NA,NA
A,ewan70,stimulus101_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants22,NA,NA,NA,NA,NA
A,ewan70,stimulus89_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants47,NA,NA,NA,NA,NA
A,ewan70,stimulus89_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants22,NA,NA,NA,NA,NA
A,ewan70,stimulus93_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants39,NA,NA,NA,NA,NA
A,ewan70,stimulus93_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants22,NA,NA,NA,NA,NA
A,ewan76,stimulus77_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants50,NA,NA,NA,NA,NA
A,ewan76,stimulus77_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants28,NA,NA,NA,NA,NA
A,ewan78,stimulus61_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants23,NA,NA,NA,NA,NA
A,ewan78,stimulus61_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants30,NA,NA,NA,NA,NA
A,ewan82,stimulus124_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants44,NA,NA,NA,NA,NA
A,ewan82,stimulus124_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants34,NA,NA,NA,NA,NA
A,ewan84,stimulus137_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants10,NA,NA,NA,NA,NA
A,ewan84,stimulus137_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants36,NA,NA,NA,NA,NA
A,ewan87,stimulus112_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants6,NA,NA,NA,NA,NA
A,ewan87,stimulus112_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants39,NA,NA,NA,NA,NA
A,ewan90,stimulus108_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants4,NA,NA,NA,NA,NA
A,ewan90,stimulus108_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants42,NA,NA,NA,NA,NA
A,ewan92,stimulus125_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants50,NA,NA,NA,NA,NA
A,ewan92,stimulus125_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants44,NA,NA,NA,NA,NA
A,ewan94,stimulus121_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants39,NA,NA,NA,NA,NA
A,ewan94,stimulus121_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants46,NA,NA,NA,NA,NA
A,ewan98,stimulus136_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,amelia_consonants36,NA,NA,NA,NA,NA
A,ewan98,stimulus136_A,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,amelia_consonants50,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus119_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan52,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus119_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus131_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan92,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus131_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus143_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan100,NA,NA,NA,NA,NA
B,amelia_consonants10,stimulus143_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
B,amelia_consonants2,stimulus67_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan76,NA,NA,NA,NA,NA
B,amelia_consonants2,stimulus67_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan50,NA,NA,NA,NA,NA
B,amelia_consonants20,stimulus102_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan58,NA,NA,NA,NA,NA
B,amelia_consonants20,stimulus102_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan68,NA,NA,NA,NA,NA
B,amelia_consonants20,stimulus86_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan50,NA,NA,NA,NA,NA
B,amelia_consonants20,stimulus86_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,stimuli/NA,ewan68,NA,NA,NA,NA,NA
B,amelia_consonants20,stimulus98_B,stimuli/NA,NA,NA,NA,NA,NA,NA,NA,OTH,NA,NA,stimuli/NA,ewan98,NA,NA,NA,NA,NA
