CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_29,stimulus92_B,raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,4.91191063174911,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI,4.40234221387449,I,V,raw/amelia_vowels.wav,amelia_vowels_30,79.88909,79.21868,ʌ,amelia,HUHDI
A,amelia_vowels_25,stimulus93_A,raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,4.45241793123959,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH,4.44356003437991,A,V,raw/ewan.wav,ewan_28,81.7525,81.0625,ʌ,ewan,HUHDAH
A,amelia_vowels_33,stimulus94_A,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,4.99419323851557,A,V,raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH,4.77431644557525,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_34,stimulus95_B,raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,5.2302885656825,A,V,raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,4.77431644557525,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
B,ewan_46,stimulus96_B,raw/ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,4.84126761805396,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI,4.37135386695183,I,V,raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI
A,amelia_vowels_48,stimulus97_A,raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,4.58098017202898,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,4.37135386695183,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
A,amelia_vowels_33,stimulus98_A,raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,4.99419323851557,A,V,raw/ewan.wav,ewan_43,127.0125,126.2825,u,ewan,WHODAH,4.77431644557525,A,V,raw/ewan.wav,ewan_34,100.7325,99.9925,ʊ,ewan,HOODAH
B,ewan_37,stimulus99_B,raw/ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,4.58098017202898,I,V,raw/amelia_vowels.wav,amelia_vowels_48,124.5925,123.87499,u,amelia,WHODI,4.24074807313773,I,V,raw/amelia_vowels.wav,amelia_vowels_39,102.16942,101.46732,ʊ,amelia,HOODI
B,amelia_vowels_48,stimulus100_B,raw/amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,4.58098017202898,I,V,raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,4.37135386695183,I,V,raw/ewan.wav,ewan_46,135.7425,134.9925,u,ewan,WHODI
B,amelia_vowels_5,stimulus101_B,raw/amelia_vowels.wav,12.5659,13.309679999999998,HADI,amelia,V,I,ɑ,4.47735558605345,I,V,raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI,4.24158644606135,I,V,raw/ewan.wav,ewan_8,23.01587,22.3965,ɑ,ewan,HADI
A,ewan_43,stimulus102_A,raw/ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,4.99419323851557,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,5.4042412931454,A,V,raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH
A,ewan_80,stimulus103_A,raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,3.91054693341285,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,3.47514441261767,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_27,stimulus104_B,raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,3.73027417280779,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,4.24981113527294,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_consonants_23,stimulus105_B,raw/amelia_consonants.wav,61.4825,62.1525,EEKEE,amelia,C,I,k,3.91054693341285,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE,3.42602549013817,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE
A,ewan_68,stimulus106_A,raw/ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,3.73027417280779,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH,3.94648174249628,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
A,amelia_consonants_31,stimulus107_A,raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,4.0682447034001,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,3.47514441261767,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_80,stimulus108_B,raw/ewan.wav,235.6825,236.2625,EEFEE,ewan,C,I,f,4.26885643452866,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,3.47514441261767,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE
B,amelia_consonants_3,stimulus109_B,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,4.36672983472292,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,4.8822503414671,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,ewan_50,stimulus110_A,raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,4.91091378078977,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH,4.8822503414671,A,C,raw/amelia_consonants.wav,amelia_consonants_3,7.93251,7.31359,p,amelia,APAH
A,amelia_consonants_27,stimulus111_A,raw/amelia_consonants.wav,72.1025,72.7625,AFAH,amelia,C,A,f,4.00506866886298,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,4.24981113527294,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,amelia_vowels_17,stimulus112_B,raw/amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,5.12244747009591,A,V,raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,3.65019895541914,A,V,raw/ewan.wav,ewan_19,55.1725,54.4125,i,ewan,HEEDAH
B,ewan_76,stimulus113_B,raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,4.23990567112991,A,C,raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH,4.24981113527294,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,ewan_96,stimulus114_B,raw/ewan.wav,276.7625,277.3325,EESHEE,ewan,C,I,ʃ,3.99761783596318,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE,3.22669150398718,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_consonants_46,stimulus115_A,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,3.40387116413623,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE,3.22669150398718,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
A,amelia_consonants_31,stimulus116_A,raw/amelia_consonants.wav,82.6725,83.39679,EEFEE,amelia,C,I,f,3.75869678164768,I,C,raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,3.47514441261767,I,C,raw/ewan.wav,ewan_80,236.2625,235.6825,f,ewan,EEFEE
B,ewan_76,stimulus117_B,raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,4.53379229920094,A,C,raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,4.24981113527294,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
B,ewan_87,stimulus118_B,raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,3.75869678164768,I,C,raw/amelia_consonants.wav,amelia_consonants_31,83.39679,82.6725,f,amelia,EEFEE,3.6727697583545,I,C,raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE
A,amelia_consonants_34,stimulus119_A,raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,4.53379229920094,A,C,raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,4.50512958002086,A,C,raw/ewan.wav,ewan_83,244.9725,244.4025,s,ewan,ASSAH
A,ewan_76,stimulus120_A,raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,4.03779235193944,A,C,raw/amelia_consonants.wav,amelia_consonants_49,130.6925,129.9825,θ,amelia,ATHAH,4.24981113527294,A,C,raw/amelia_consonants.wav,amelia_consonants_27,72.7625,72.1025,f,amelia,AFAH
