_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
pʰ,+,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
qʷ,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ɡ͡b,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
əi,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ai,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
œː,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
œ,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
œu,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
ɪ,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɛː,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
œi,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ɦ,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,-
eə,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
øə,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
oə,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɔː,-,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
y,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
d̪,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
s̪,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
t̪,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
kʷʼ,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+
tʃʼ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
ɨ,-,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
l̪,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
t̪ʼ,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
n̪,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
ɾ̪,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
z̪,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
s̪ʼ,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,-
bʷ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
ɸ,+,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
β,+,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
ɟ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
cʰ,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
tʃʰ,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-
ɥ,-,+,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+
c,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
æː,-,-,-,-,+,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
æ,-,-,-,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
s̪ˤ,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,-,-
t̪ˤ,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-
dʑɥ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,+
tɕɥ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+
sʲ,+,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
sʷ,+,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+
o̝,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
dʑ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
e̝,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɹ,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
õ̝,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
ɕɥ,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+
ɲɥ,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+
ŋʷ,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+
hʷ,-,+,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,+
ẽ̝,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
tɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ʎ,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-
aj,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ij,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʈⁿ,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɽ,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
pᵐ,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ɳ,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
uw,-,+,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ɭ,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
c,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
tⁿ,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ʈ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
t̪ⁿ,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
kᵑ,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
ø,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
fˤ,+,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-
bˤ,+,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-
mˤ,+,+,+,-,-,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,+,-
ɾˤ,+,-,+,-,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,-,+,+,-
nˤ,+,-,+,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,+,+,-
ɡˤ,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-
wˤ,+,+,+,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,-
l̪ˤ,+,-,+,-,-,+,+,-,-,+,-,-,-,+,+,-,-,+,-,-,+,+,-
ɻ,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,-
ɓ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
ɗ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-
dˤ,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-
d̪ˤ,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-
z̪ˤ,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,+,-
ɾ̪ˤ,+,-,+,-,-,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,+,+,-
õ,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,+
ẽ,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
æ̃,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,+,-,+,-,-,-,+,-
ɒ,-,+,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,+
s̻,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
s̻ˤ,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,-,-
z̻,+,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
z̻ˤ,-,-,+,+,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,+,+,-
kʰ,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
qʼ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
mʰ,+,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-
nʰ,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,+,+,-
wʰ,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,+
tː,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɣ̀,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-
əː,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
pf,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
fː,+,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
kː,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
nː,+,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
dːʒ,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
bv,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
tːʃ,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
mː,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
lː,+,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
tɬʼ,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
tɬʰ,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
tɬ,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
e̯,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
ɑ,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ɡʰ,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-
