_segment,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
õʔ,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,-,+,+
ǂqʔ,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ǁʰ,+,-,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-
uˤʔ,-,+,+,+,+,-,-,-,-,+,+,+,-,+,-,+,+,+,-,-,-,+,+
ʘqʰ,+,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-
aˤ,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ã̤,-,-,+,-,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-
ǁkxʔ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
a̤,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ǁʔ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ʔǃn,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-
ǂqʰ,-,-,+,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ʘqʔ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ɡǃ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɡǂ,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɡǁ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɡǀ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ħʷ,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+
ʔˤ,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-
pɸ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
š,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
ɲ̥,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-
n̥s,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
cʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
ɲ̥cʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
ɱ̥f,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
ɲ̥ʃ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
ŋ̥,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-
ɡ͡p,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ʃː,-,-,-,+,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
tːʃː,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,+,+,-,-
sː,+,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
ɟ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
ɹ,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,+,+,-
c,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
ɾ,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-
θ,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,-
ŋː,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
e̞,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
qɰ,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
l̪ʲ,+,-,-,+,-,+,+,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
wʲ,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
z̪ʲ,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
d̪z̪ʲ,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
t̺s̺ʲ,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
s̪ʲ,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
ɦʲ,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,-
ɦʷ,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,+
mˠ,+,+,+,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
pˠ,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ᵐbʲ,+,+,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
ⁿdʲ,+,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
a+,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
ɟʑ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
o̯a,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
e̯a,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
r̪ʲ,+,-,-,+,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
ʃtʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɔ̃ʔ,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,+,+
ɛ̃ʔ,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,+,-
ɔʔ,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,+,+
ɛʔ,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,+,-
ǃʒ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃʃ,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃd,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃs,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃr,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃt,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ǃz,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
lǃ,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
ɔ̝ː,-,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
jː,-,-,-,+,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
u̝ː,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
a̪ː,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
ɔ̝,-,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
i̝ː,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɲː,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
wː,+,+,+,+,-,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
n̪ː,+,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
ia,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
uo,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
n̪z̪,+,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,+,+,-
ts͡kʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+
z͡ɣw,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+
dʒ͡ɡ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
ʃ͡kʷ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+
ʒ͡ɣw,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,+
tʃ͡kʷ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,+
dɣw,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
nzʷ,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,+,+
nŋw,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+
r͡ɣw,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+
dʒ͡ɣʷ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+
s͡kʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
tʃ͡k,-,-,-,+,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-
p͡k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
zʷ͡ɣw,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+
m͡ŋ,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
ɲ͡ŋ,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
dzʷ,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,+
dzɣw,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
ɲ͡ŋw,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+
ṳː,-,+,+,+,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,+
e̤ː,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʌ̤ː,-,-,+,-,-,-,-,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,-
t̪θ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
i̤ː,-,-,-,+,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ṳo̤,-,+,+,-,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ʊɔ,-,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,+
ɪɛ,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ʌ̤,-,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,+,-,-,-,+,-
i̤e̤,-,-,-,-,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,-
d̪ð,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
o̤ː,-,+,+,-,+,-,-,+,+,-,+,+,-,+,-,+,-,+,-,-,-,+,+
pʃʼ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-
bʒ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
nǃ,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
fʃ,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
ⁿɮ,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+,-
dβ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ⁿdβ,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-
nkǀ,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
nkǃ,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ⁿtʃʼ,-,-,-,+,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-
nɡǀ,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
nɡǃ,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ⁿtsʼ,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-
ⁿtɸ,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
nǀ,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
tɸʰ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-
ⁿʃ,-,-,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,-
ɴʼ,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-
ʉ̟ː,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
jʷ,-,+,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,+
t̪ʃ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-
d̪ʒ,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-
l̪θ,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ɣʼ,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,+,+,-
ə̟,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
zʼ,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,-
i̟,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
t̪ʷ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+
qʷʼ,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+
əˤ,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
qˤ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-
iˤ,-,-,+,+,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
xː,-,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
hˤ,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-
ɢˤ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-
eˤ,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
qː,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
tʃʷʼ,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+
qˤʼ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-
s̪ː,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
t̪s̪ː,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
t̪ː,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
ʁˤ,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-
χː,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
χˤ,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-
ṵ,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ṵː,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,+
ḭː,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
ḭ,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-
a̰ː,-,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-
a̰,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-
ɾð,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
ʛ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-
tzʼ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
tz,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
ɪ̘,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʊ̘,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
ɔ̘,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
a̠,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,+,-
ɛ̘,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ɰʼ,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,+,-
nǁ,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɔ̥,-,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+
e̥,-,-,-,-,+,-,-,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-
u̥,-,+,+,+,+,-,-,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,+
o̥,-,+,+,-,+,-,-,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,+
ʊ̥,-,+,+,+,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+
ɪ̥,-,-,-,+,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-
i̥,-,-,-,+,+,-,-,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-
ɛ̥,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-
ḁ,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-
z̪ˤː,+,-,+,-,-,-,+,+,-,+,-,+,-,-,+,-,-,-,+,-,+,+,-
bː,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ɡʷː,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+
d̪ˤː,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-
rˤː,+,-,+,-,-,-,-,+,-,+,-,+,-,+,+,-,-,+,-,-,+,+,-
d̪ː,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
nˤː,+,-,+,-,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,+,-
rˤ,+,-,+,-,-,-,-,-,-,+,-,+,-,+,+,-,-,+,-,-,+,+,-
ʒː,-,-,-,+,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
l̪ː,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
t̪ˤː,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-
kʷː,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ʁː,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
z̪ː,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+,+,-
l̪ˤː,+,-,+,-,-,+,+,+,-,+,-,-,-,+,+,-,-,+,-,-,+,+,-
hʷː,-,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,-,+
qʷː,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+
ɡː,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
s̪ˤː,+,-,+,-,-,-,+,+,-,+,-,+,-,-,+,-,-,-,+,-,+,-,-
χˤʷ,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+
qʼˤ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-
tʂ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-
dʐ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-
ʒ̥ʷ,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,+,+
vˤ,+,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,+,-
χʲ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
qʼˤʷ,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+
ʁʲ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
pʼˤ,+,+,+,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-
qʼʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ʃ̥ʷ,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+
qˤʷ,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+
ʁˤʷ,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,+
qʲ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
tʂʼ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-
h̃,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-
ɣʲ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-
l̃,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,-
ʋ̃,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,-
ɦ̃,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,+,-
r̥,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-
ʋʰ,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-
əe,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
əo,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
əu,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
ʔt,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ʔp,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ʔk,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ŋʼ,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-
tswʰ,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+
pʰʷ,+,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+
pʷʼ,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+
tʲʼ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-
ʌ̆,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,+,-
tr,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
βm,+,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-
dʝ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
ⁿc,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-
d̏,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-
m̏,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,-,+,+,-
b̏,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-
n̏,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-
ⁿtɬ,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
ɣʰ,-,-,+,+,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,-
nɡǁ,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
nɡǂ,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-
ʒʰ,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,-
nǂ,-,-,+,+,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-
dð,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
tθ,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
θʼ,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,+,-,-
n̪ʼ,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-
l̪ʼ,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,+,-,-,+,+,-
ɔj,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-
ej,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
jẽ,-,-,-,+,+,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,-,+,-
ɹː,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
mnl,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
klʼ,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-
ⁿdlʼ,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-
