"","subject_id","tripletid","delta_dist_sub","subject_language","user_corr","phone_OTH","phone_TGT","phone_TGT_nat_non","phone_OTH_nat_non","cross_lang","glob","loc","econ"
"623","X_CSKAOILVZG","stimulus141_A",-1.39375035840988,"English",1,"t","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"624","X_CSKAOILVZG","stimulus91_B",-2.55376663480621,"English",1,"k","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"625","X_CSKAOILVZG","stimulus46_B",-0.59072733249076,"English",1,"u","i","native","nonnat","cross_lang",0.382783882783883,0.621212121212121,0.141666666666667
"626","X_CSKAOILVZG","stimulus129_A",0.12300543509442,"English",0,"t","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"627","X_CSKAOILVZG","stimulus132_A",-0.00026432520234998,"English",1,"ʃ","t","native","nonnat","cross_lang",0.476190476190476,0.666666666666667,0.0298804780876494
"628","X_CSKAOILVZG","stimulus72_A",-0.0572577505506899,"English",0,"f","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"629","X_CSKAOILVZG","stimulus78_B",-0.0503459246727598,"English",0,"θ","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
"630","X_CSKAOILVZG","stimulus77_A",0.43653918057676,"English",1,"θ","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
"631","X_CSKAOILVZG","stimulus115_B",-0.0856303638450102,"English",1,"p","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"632","X_CSKAOILVZG","stimulus74_B",-0.112230024077,"English",0,"s","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
"633","X_CSKAOILVZG","stimulus30_B",-0.19967284516379,"English",1,"ʌ","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"634","X_CSKAOILVZG","stimulus75_B",-0.3312593185066,"English",1,"f","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"635","X_CSKAOILVZG","stimulus80_A",0.50709540193985,"English",1,"f","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"636","X_CSKAOILVZG","stimulus69_A",-1.2202204887789,"English",1,"ʃ","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
"637","X_CSKAOILVZG","stimulus71_B",-1.17536897014691,"English",1,"f","ʃ","nonnat","native","cross_lang",0.420168067226891,0.757166257166257,0.047328903011436
"638","X_CSKAOILVZG","stimulus79_B",0.11793445763451,"English",1,"f","θ","nonnat","native","cross_lang",0.428571428571429,0.712121212121212,0.0298804780876494
"639","X_CSKAOILVZG","stimulus29_A",-0.12269166149723,"English",1,"ʌ","æ","native","nonnat","cross_lang",0.6,0.687770562770563,0.0647773279352227
"640","X_CSKAOILVZG","stimulus31_B",-0.0087797616711196,"English",0,"æ","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"641","X_CSKAOILVZG","stimulus70_B",0.24339837213175,"English",1,"ʃ","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
"642","X_CSKAOILVZG","stimulus113_A",-0.61809059446882,"English",1,"θ","p","native","nonnat","cross_lang",0.462912087912088,0.720779220779221,0.0647773279352227
"643","X_CSKAOILVZG","stimulus76_A",0.0600868953052496,"English",0,"f","s","nonnat","native","cross_lang",0.5,0.696969696969697,0.0647773279352227
"644","X_CSKAOILVZG","stimulus32_A",0.23598181516938,"English",1,"æ","ʌ","nonnat","native","cross_lang",0.48,0.651515151515151,0.047328903011436
"645","X_CSKAOILVZG","stimulus73_A",-0.57503037697399,"English",1,"s","f","native","nonnat","cross_lang",0.449166666666667,0.783783783783784,0.141666666666667
