File1,Silence1,File2,Silence2,File3,CORR_ANS,filename,tripletid,ACTUAL_FILES
ewan_HEEDAH2.wav,500ms_silence.wav,ewan_HOODAH1.wav,500ms_silence.wav,amelia_HOODAH1.wav,B,stimulus39,stimulus39_B,stimulus39_B
amelia_HOODAH1.wav,500ms_silence.wav,amelia_HEEDAH2.wav,500ms_silence.wav,ewan_HOODAH1.wav,A,stimulus40,stimulus40_A,stimulus40_A
ewan_HEEDI2.wav,500ms_silence.wav,ewan_HUHDI1.wav,500ms_silence.wav,amelia_HEEDI2.wav,A,stimulus41,stimulus41_A,stimulus41_A
amelia_HUHDI1.wav,500ms_silence.wav,amelia_HEEDI2.wav,500ms_silence.wav,ewan_HEEDI2.wav,B,stimulus42,stimulus42_B,stimulus42_B
amelia_HEEDAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,500ms_silence.wav,ewan_HUHDAH1.wav,B,stimulus43,stimulus43_B,stimulus43_B
ewan_HUHDAH1.wav,500ms_silence.wav,ewan_HEEDAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,A,stimulus44,stimulus44_A,stimulus44_A
ewan_HEEDAH2.wav,500ms_silence.wav,ewan_WHODAH1.wav,500ms_silence.wav,amelia_HEEDAH2.wav,A,stimulus45,stimulus45_A,stimulus45_A
amelia_WHODAH1.wav,500ms_silence.wav,amelia_HEEDAH2.wav,500ms_silence.wav,ewan_HEEDAH2.wav,B,stimulus46,stimulus46_B,stimulus46_B
amelia_HEEDI2.wav,500ms_silence.wav,amelia_WHODI1.wav,500ms_silence.wav,ewan_WHODI1.wav,B,stimulus47,stimulus47_B,stimulus47_B
ewan_WHODI1.wav,500ms_silence.wav,ewan_HEEDI2.wav,500ms_silence.wav,amelia_WHODI1.wav,A,stimulus48,stimulus48_A,stimulus48_A
amelia_HOODAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,500ms_silence.wav,ewan_HOODAH2.wav,A,stimulus49,stimulus49_A,stimulus49_A
ewan_HUHDI1.wav,500ms_silence.wav,ewan_HOODI2.wav,500ms_silence.wav,amelia_HOODI2.wav,B,stimulus50,stimulus50_B,stimulus50_B
amelia_HOODI2.wav,500ms_silence.wav,amelia_HUHDI1.wav,500ms_silence.wav,ewan_HUHDI1.wav,B,stimulus51,stimulus51_B,stimulus51_B
ewan_HUHDAH1.wav,500ms_silence.wav,ewan_HOODAH2.wav,500ms_silence.wav,amelia_HUHDAH1.wav,A,stimulus52,stimulus52_A,stimulus52_A
ewan_HOODAH2.wav,500ms_silence.wav,ewan_WHODAH1.wav,500ms_silence.wav,amelia_HOODAH2.wav,A,stimulus53,stimulus53_A,stimulus53_A
amelia_WHODAH1.wav,500ms_silence.wav,amelia_HOODAH2.wav,500ms_silence.wav,ewan_HOODAH2.wav,B,stimulus54,stimulus54_B,stimulus54_B
amelia_HOODI2.wav,500ms_silence.wav,amelia_WHODI1.wav,500ms_silence.wav,ewan_WHODI1.wav,B,stimulus55,stimulus55_B,stimulus55_B
ewan_WHODI1.wav,500ms_silence.wav,ewan_HOODI2.wav,500ms_silence.wav,amelia_WHODI1.wav,A,stimulus56,stimulus56_A,stimulus56_A
ewan_HOODAH2.wav,500ms_silence.wav,ewan_WHODAH1.wav,500ms_silence.wav,amelia_HOODAH2.wav,A,stimulus57,stimulus57_A,stimulus57_A
amelia_WHODI1.wav,500ms_silence.wav,amelia_HOODI2.wav,500ms_silence.wav,ewan_HOODI2.wav,B,stimulus58,stimulus58_B,stimulus58_B
ewan_HOODI2.wav,500ms_silence.wav,ewan_WHODI1.wav,500ms_silence.wav,amelia_WHODI1.wav,B,stimulus59,stimulus59_B,stimulus59_B
amelia_WHODAH1.wav,500ms_silence.wav,amelia_HOODAH2.wav,500ms_silence.wav,ewan_WHODAH1.wav,A,stimulus60,stimulus60_A,stimulus60_A
amelia_EEFEE2.wav,500ms_silence.wav,amelia_EEKEE3.wav,500ms_silence.wav,ewan_EEFEE2.wav,A,stimulus61,stimulus61_A,stimulus61_A
ewan_AKAH2.wav,500ms_silence.wav,ewan_AFAH4.wav,500ms_silence.wav,amelia_AFAH4.wav,B,stimulus62,stimulus62_B,stimulus62_B
ewan_EEFEE2.wav,500ms_silence.wav,ewan_EEKEE3.wav,500ms_silence.wav,amelia_EEKEE3.wav,B,stimulus63,stimulus63_B,stimulus63_B
amelia_AKAH2.wav,500ms_silence.wav,amelia_AFAH4.wav,500ms_silence.wav,ewan_AKAH2.wav,A,stimulus64,stimulus64_A,stimulus64_A
ewan_EEFEE2.wav,500ms_silence.wav,ewan_EEPEE3.wav,500ms_silence.wav,amelia_EEFEE2.wav,A,stimulus65,stimulus65_A,stimulus65_A
amelia_EEPEE3.wav,500ms_silence.wav,amelia_EEFEE2.wav,500ms_silence.wav,ewan_EEFEE2.wav,B,stimulus66,stimulus66_B,stimulus66_B
